Energy(eV)   DOS
-8.3553935625 0.0000000000
-8.3302847820 0.0000000000
-8.3051760014 0.0000000001
-8.2800672209 0.0000000002
-8.2549584404 0.0000000005
-8.2298496599 0.0000000012
-8.2047408794 0.0000000027
-8.1796320989 0.0000000061
-8.1545233183 0.0000000134
-8.1294145378 0.0000000292
-8.1043057573 0.0000000625
-8.0791969768 0.0000001315
-8.0540881963 0.0000002721
-8.0289794158 0.0000005533
-8.0038706353 0.0000011062
-7.9787618547 0.0000021744
-7.9536530742 0.0000042020
-7.9285442937 0.0000079829
-7.9034355132 0.0000149101
-7.8783267327 0.0000273779
-7.8532179522 0.0000494226
-7.8281091716 0.0000877114
-7.8030003911 0.0001530351
-7.7778916106 0.0002625006
-7.7527828301 0.0004426639
-7.7276740496 0.0007338758
-7.7025652691 0.0011961223
-7.6774564886 0.0019166074
-7.6523477080 0.0030192237
-7.6272389275 0.0046758656
-7.6021301470 0.0071192346
-7.5770213665 0.0106563667
-7.5519125860 0.0156815714
-7.5268038055 0.0226868694
-7.5016950249 0.0322674117
-7.4765862444 0.0451188746
-7.4514774639 0.0620235978
-7.4263686834 0.0838224248
-7.4012599029 0.1113699573
-7.3761511224 0.1454723502
-7.3510423419 0.1868088408
-7.3259335613 0.2358408136
-7.3008247808 0.2927150630
-7.2757160003 0.3571706363
-7.2506072198 0.4284606987
-7.2254984393 0.5053017524
-7.2003896588 0.5858618053
-7.1752808783 0.6677964948
-7.1501720977 0.7483377490
-7.1250633172 0.8244337073
-7.0999545367 0.8929320158
-7.0748457562 0.9507922174
-7.0497369757 0.9953078059
-7.0246281952 1.0243155612
-6.9995194146 1.0363696812
-6.9744106341 1.0308612067
-6.9493018536 1.0080690064
-6.9241930731 0.9691363797
-6.8990842926 0.9159760096
-6.8739755121 0.8511142665
-6.8488667316 0.7774925028
-6.8237579510 0.6982470635
-6.7986491705 0.6164907922
-6.7735403900 0.5351168659
-6.7484316095 0.4566413683
-6.7233228290 0.3830949567
-6.6982140485 0.3159673334
-6.6731052679 0.2562019930
-6.6479964874 0.2042336933
-6.6228877069 0.1600578013
-6.5977789264 0.1233192489
-6.5726701459 0.0934091595
-6.5475613654 0.0695588874
-6.5224525849 0.0509237480
-6.4973438043 0.0366515777
-6.4722350238 0.0259340050
-6.4471262433 0.0180406087
-6.4220174628 0.0123377998
-6.3969086823 0.0082952606
-6.3717999018 0.0054831596
-6.3466911212 0.0035632750
-6.3215823407 0.0022767489
-6.2964735602 0.0014306249
-6.2713647797 0.0008847095
-6.2462559992 0.0005397370
-6.2211472187 0.0003273628
-6.1960384382 0.0002021804
-6.1709296576 0.0001357580
-6.1458208771 0.0001125960
-6.1207120966 0.0001279172
-6.0956033161 0.0001872688
-6.0704945356 0.0003080518
-6.0453857551 0.0005232488
-6.0202769745 0.0008878024
-5.9951681940 0.0014882629
-5.9700594135 0.0024564450
-5.9449506330 0.0039878639
-5.9198418525 0.0063656033
-5.8947330720 0.0099899221
-5.8696242915 0.0154132743
-5.8445155109 0.0233794353
-5.8194067304 0.0348640812
-5.7942979499 0.0511125046
-5.7691891694 0.0736683120
-5.7440803889 0.1043851832
-5.7189716084 0.1454124426
-5.6938628279 0.1991447454
-5.6687540473 0.2681270948
-5.6436452668 0.3549090894
-5.6185364863 0.4618469819
-5.5934277058 0.5908587432
-5.5683189253 0.7431453955
-5.5432101448 0.9189004931
-5.5181013642 1.1170374829
-5.4929925837 1.3349702166
-5.4678838032 1.5684835757
-5.4427750227 1.8117277755
-5.4176662422 2.0573608826
-5.3925574617 2.2968497278
-5.3674486812 2.5209211088
-5.3423399006 2.7201352335
-5.3172311201 2.8855347267
-5.2921223396 3.0093083018
-5.2670135591 3.0854010971
-5.2419047786 3.1100054097
-5.2167959981 3.0818764752
-5.1916872175 3.0024368350
-5.1665784370 2.8756571082
-5.1414696565 2.7077270804
-5.1163608760 2.5065550405
-5.0912520955 2.2811517194
-5.0661433150 2.0409655078
-5.0410345345 1.7952367405
-5.0159257539 1.5524311869
-4.9908169734 1.3197982803
-4.9657081929 1.1030808016
-4.9405994124 0.9063828143
-4.9154906319 0.7321845613
-4.8903818514 0.5814790075
-4.8652730708 0.4539960583
-4.8401642903 0.3484774598
-4.8150555098 0.2629673749
-4.7899467293 0.1950893753
-4.7648379488 0.1422885434
-4.7397291683 0.1020259900
-4.7146203878 0.0719210916
-4.6895116072 0.0498432430
-4.6644028267 0.0339594682
-4.6392940462 0.0227467858
-4.6141852657 0.0149790326
-4.5890764852 0.0096973274
-4.5639677047 0.0061719859
-4.5388589241 0.0038619118
-4.5137501436 0.0023756604
-4.4886413631 0.0014367160
-4.4635325826 0.0008542049
-4.4384238021 0.0004992956
-4.4133150216 0.0002869182
-4.3882062411 0.0001620925
-4.3630974605 0.0000900269
-4.3379886800 0.0000491571
-4.3128798995 0.0000263879
-4.2877711190 0.0000139260
-4.2626623385 0.0000072253
-4.2375535580 0.0000036854
-4.2124447775 0.0000018481
-4.1873359969 0.0000009111
-4.1622272164 0.0000004416
-4.1371184359 0.0000002104
-4.1120096554 0.0000000986
-4.0869008749 0.0000000454
-4.0617920944 0.0000000206
-4.0366833138 0.0000000091
-4.0115745333 0.0000000040
-3.9864657528 0.0000000017
-3.9613569723 0.0000000007
-3.9362481918 0.0000000003
-3.9111394113 0.0000000002
-3.8860306308 0.0000000003
-3.8609218502 0.0000000006
-3.8358130697 0.0000000014
-3.8107042892 0.0000000033
-3.7855955087 0.0000000076
-3.7604867282 0.0000000172
-3.7353779477 0.0000000382
-3.7102691671 0.0000000833
-3.6851603866 0.0000001785
-3.6600516061 0.0000003759
-3.6349428256 0.0000007785
-3.6098340451 0.0000015850
-3.5847252646 0.0000031727
-3.5596164841 0.0000062433
-3.5345077035 0.0000120783
-3.5093989230 0.0000229723
-3.4842901425 0.0000429544
-3.4591813620 0.0000789613
-3.4340725815 0.0001427005
-3.4089638010 0.0002535370
-3.3838550204 0.0004428553
-3.3587462399 0.0007604783
-3.3336374594 0.0012838564
-3.3085286789 0.0021308390
-3.2834198984 0.0034768775
-3.2583111179 0.0055774117
-3.2332023374 0.0087959063
-3.2080935568 0.0136374461
-3.1829847763 0.0207869164
-3.1578759958 0.0311495416
-3.1327672153 0.0458899749
-3.1076584348 0.0664643172
-3.0825496543 0.0946376275
-3.0574408737 0.1324779836
-3.0323320932 0.1823174101
-3.0072233127 0.2466704606
-2.9821145322 0.3281033882
-2.9570057517 0.4290509363
-2.9318969712 0.5515838748
-2.9067881907 0.6971381300
-2.8816794101 0.8662249355
-2.8565706296 1.0581496535
-2.8314618491 1.2707732820
-2.8063530686 1.5003536005
-2.7812442881 1.7415010589
-2.7561355076 1.9872771061
-2.7310267271 2.2294497306
-2.7059179465 2.4589036285
-2.6808091660 2.6661826608
-2.6557003855 2.8421229404
-2.6305916050 2.9785190965
-2.6054828245 3.0687569014
-2.5803740440 3.1083445425
-2.5552652634 3.0952831683
-2.5301564829 3.0302341532
-2.5050477024 2.9164635961
-2.4799389219 2.7595705366
-2.4548301414 2.5670303741
-2.4297213609 2.3476053141
-2.4046125804 2.1106864829
-2.3795037998 1.8656361238
-2.3543950193 1.6211930159
-2.3292862388 1.3849913929
-2.3041774583 1.1632257119
-2.2790686778 0.9604737069
-2.2539598973 0.7796712788
-2.2288511167 0.6222174122
-2.2037423362 0.4881770436
-2.1786335557 0.3765451984
-2.1535247752 0.2855363762
-2.1284159947 0.2128679813
-2.1033072142 0.1560140849
-2.0781984337 0.1124143731
-2.0530896531 0.0796314174
-2.0279808726 0.0554563929
-2.0028720921 0.0379684929
-1.9777633116 0.0255563994
-1.9526545311 0.0169114383
-1.9275457506 0.0110018569
-1.9024369700 0.0070364889
-1.8773281895 0.0044243613
-1.8522194090 0.0027349522
-1.8271106285 0.0016620859
-1.8020018480 0.0009930286
-1.7768930675 0.0005832767
-1.7517842870 0.0003368155
-1.7266755064 0.0001912115
-1.7015667259 0.0001067187
-1.6764579454 0.0000585560
-1.6513491649 0.0000315869
-1.6262403844 0.0000167513
-1.6011316039 0.0000087336
-1.5760228233 0.0000044765
-1.5509140428 0.0000022558
-1.5258052623 0.0000011175
-1.5006964818 0.0000005443
-1.4755877013 0.0000002606
-1.4504789208 0.0000001227
-1.4253701403 0.0000000569
-1.4002613597 0.0000000261
-1.3751525792 0.0000000123
-1.3500437987 0.0000000067
-1.3249350182 0.0000000060
-1.2998262377 0.0000000094
-1.2747174572 0.0000000191
-1.2496086767 0.0000000405
-1.2244998961 0.0000000858
-1.1993911156 0.0000001791
-1.1742823351 0.0000003679
-1.1491735546 0.0000007428
-1.1240647741 0.0000014746
-1.0989559936 0.0000028777
-1.0738472130 0.0000055212
-1.0487384325 0.0000104141
-1.0236296520 0.0000193114
-0.9985208715 0.0000352057
-0.9734120910 0.0000630980
-0.9483033105 0.0001111792
-0.9231945300 0.0001925909
-0.8980857494 0.0003279841
-0.8729769689 0.0005491289
-0.8478681884 0.0009038585
-0.8227594079 0.0014626193
-0.7976506274 0.0023268417
-0.7725418469 0.0036392102
-0.7474330663 0.0055956727
-0.7223242858 0.0084586771
-0.6972155053 0.0125706508
-0.6721067248 0.0183661659
-0.6469979443 0.0263806235
-0.6218891638 0.0372527178
-0.5967803833 0.0517175582
-0.5716716027 0.0705872625
-0.5465628222 0.0947162679
