
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.728
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.540
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-8.3553935625 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	-8.3302847820 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	-8.3051760014 	0.0000000001 	0.0000000000 	0.0000000000 	0.0000000000
	-8.2800672209 	0.0000000002 	0.0000000001 	0.0000000001 	0.0000000001
	-8.2549584404 	0.0000000004 	0.0000000001 	0.0000000001 	0.0000000001
	-8.2298496599 	0.0000000010 	0.0000000003 	0.0000000003 	0.0000000003
	-8.2047408794 	0.0000000022 	0.0000000007 	0.0000000007 	0.0000000007
	-8.1796320989 	0.0000000050 	0.0000000015 	0.0000000015 	0.0000000015
	-8.1545233183 	0.0000000112 	0.0000000033 	0.0000000033 	0.0000000033
	-8.1294145378 	0.0000000243 	0.0000000072 	0.0000000072 	0.0000000072
	-8.1043057573 	0.0000000520 	0.0000000153 	0.0000000153 	0.0000000153
	-8.0791969768 	0.0000001094 	0.0000000323 	0.0000000323 	0.0000000323
	-8.0540881963 	0.0000002262 	0.0000000667 	0.0000000667 	0.0000000667
	-8.0289794158 	0.0000004601 	0.0000001357 	0.0000001357 	0.0000001357
	-8.0038706353 	0.0000009200 	0.0000002714 	0.0000002714 	0.0000002714
	-7.9787618547 	0.0000018083 	0.0000005334 	0.0000005334 	0.0000005334
	-7.9536530742 	0.0000034944 	0.0000010308 	0.0000010308 	0.0000010308
	-7.9285442937 	0.0000066388 	0.0000019583 	0.0000019583 	0.0000019583
	-7.9034355132 	0.0000123995 	0.0000036576 	0.0000036576 	0.0000036576
	-7.8783267327 	0.0000227680 	0.0000067162 	0.0000067162 	0.0000067162
	-7.8532179522 	0.0000411008 	0.0000121240 	0.0000121240 	0.0000121240
	-7.8281091716 	0.0000729424 	0.0000215167 	0.0000215167 	0.0000215167
	-7.8030003911 	0.0001272667 	0.0000375415 	0.0000375415 	0.0000375415
	-7.7778916106 	0.0002183002 	0.0000643948 	0.0000643948 	0.0000643948
	-7.7527828301 	0.0003681272 	0.0001085911 	0.0001085911 	0.0001085911
	-7.7276740496 	0.0006103042 	0.0001800292 	0.0001800292 	0.0001800292
	-7.7025652691 	0.0009947166 	0.0002934241 	0.0002934242 	0.0002934242
	-7.6774564886 	0.0015938849 	0.0004701684 	0.0004701684 	0.0004701684
	-7.6523477080 	0.0025108404 	0.0007406544 	0.0007406544 	0.0007406544
	-7.6272389275 	0.0038885333 	0.0011470499 	0.0011470499 	0.0011470499
	-7.6021301470 	0.0059204825 	0.0017464397 	0.0017464397 	0.0017464397
	-7.5770213665 	0.0088620247 	0.0026141436 	0.0026141436 	0.0026141436
	-7.5519125860 	0.0130410746 	0.0038468908 	0.0038468909 	0.0038468909
	-7.5268038055 	0.0188668055 	0.0055653804 	0.0055653804 	0.0055653805
	-7.5016950249 	0.0268341555 	0.0079156105 	0.0079156105 	0.0079156106
	-7.4765862444 	0.0375216614 	0.0110682394 	0.0110682394 	0.0110682395
	-7.4514774639 	0.0515799309 	0.0152151851 	0.0152151852 	0.0152151853
	-7.4263686834 	0.0697082245 	0.0205627173 	0.0205627174 	0.0205627176
	-7.4012599029 	0.0926172443 	0.0273204808 	0.0273204809 	0.0273204812
	-7.3761511224 	0.1209774028 	0.0356862357 	0.0356862359 	0.0356862363
	-7.3510423419 	0.1553535662 	0.0458266077 	0.0458266080 	0.0458266085
	-7.3259335613 	0.1961294299 	0.0578547803 	0.0578547806 	0.0578547813
	-7.3008247808 	0.2434270709 	0.0718067641 	0.0718067645 	0.0718067653
	-7.2757160003 	0.2970294761 	0.0876185439 	0.0876185445 	0.0876185455
	-7.2506072198 	0.3563155644 	0.1051069118 	0.1051069124 	0.1051069136
	-7.2254984393 	0.4202179561 	0.1239570090 	0.1239570098 	0.1239570112
	-7.2003896588 	0.4872131340 	0.1437194246 	0.1437194255 	0.1437194271
	-7.1752808783 	0.5553514842 	0.1638190561 	0.1638190572 	0.1638190590
	-7.1501720977 	0.6223310287 	0.1835768601 	0.1835768613 	0.1835768633
	-7.1250633172 	0.6856137858 	0.2022441759 	0.2022441772 	0.2022441795
	-7.0999545367 	0.7425782018 	0.2190476907 	0.2190476921 	0.2190476945
	-7.0748457562 	0.7906957781 	0.2332415412 	0.2332415427 	0.2332415453
	-7.0497369757 	0.8277157360 	0.2441617867 	0.2441617883 	0.2441617910
	-7.0246281952 	0.8518391031 	0.2512777616 	0.2512777632 	0.2512777660
	-6.9995194146 	0.8618635244 	0.2542347920 	0.2542347937 	0.2542347965
	-6.9744106341 	0.8572825787 	0.2528834925 	0.2528834941 	0.2528834969
	-6.9493018536 	0.8383281781 	0.2472922730 	0.2472922746 	0.2472922774
	-6.9241930731 	0.8059511109 	0.2377415997 	0.2377416013 	0.2377416039
	-6.8990842926 	0.7617419983 	0.2247006783 	0.2247006797 	0.2247006822
	-6.8739755121 	0.7078018151 	0.2087892597 	0.2087892611 	0.2087892634
	-6.8488667316 	0.6465766423 	0.1907288956 	0.1907288968 	0.1907288990
	-6.8237579510 	0.5806747206 	0.1712889717 	0.1712889728 	0.1712889747
	-6.7986491705 	0.5126847461 	0.1512331084 	0.1512331094 	0.1512331111
	-6.7735403900 	0.4450127367 	0.1312710393 	0.1312710401 	0.1312710416
	-6.7484316095 	0.3797511122 	0.1120199919 	0.1120199926 	0.1120199939
	-6.7233228290 	0.3185886036 	0.0939781126 	0.0939781132 	0.0939781143
	-6.6982140485 	0.2627640740 	0.0775108446 	0.0775108451 	0.0775108460
	-6.6731052679 	0.2130621502 	0.0628496391 	0.0628496395 	0.0628496402
	-6.6479964874 	0.1698443846 	0.0501011478 	0.0501011481 	0.0501011486
	-6.6228877069 	0.1331069243 	0.0392642341 	0.0392642344 	0.0392642348
	-6.5977789264 	0.1025544885 	0.0302517954 	0.0302517956 	0.0302517960
	-6.5726701459 	0.0776807242 	0.0229144664 	0.0229144665 	0.0229144668
	-6.5475613654 	0.0578464122 	0.0170636883 	0.0170636884 	0.0170636886
	-6.5224525849 	0.0423490976 	0.0124922493 	0.0124922494 	0.0124922495
	-6.4973438043 	0.0304801058 	0.0089911025 	0.0089911026 	0.0089911027
	-6.4722350238 	0.0215671806 	0.0063619441 	0.0063619441 	0.0063619442
	-6.4471262433 	0.0150028904 	0.0044255921 	0.0044255921 	0.0044255921
	-6.4220174628 	0.0102603305 	0.0030266186 	0.0030266187 	0.0030266187
	-6.3969086823 	0.0068984779 	0.0020349293 	0.0020349293 	0.0020349294
	-6.3717999018 	0.0045598741 	0.0013450794 	0.0013450794 	0.0013450794
	-6.3466911212 	0.0029632419 	0.0008740957 	0.0008740957 	0.0008740957
	-6.3215823407 	0.0018932987 	0.0005584708 	0.0005584708 	0.0005584708
	-6.2964735602 	0.0011895552 	0.0003508580 	0.0003508580 	0.0003508580
	-6.2713647797 	0.0007353796 	0.0002168429 	0.0002168429 	0.0002168429
	-6.2462559992 	0.0004481366 	0.0001320306 	0.0001320306 	0.0001320306
	-6.2211472187 	0.0002708339 	0.0000795742 	0.0000795742 	0.0000795742
	-6.1960384382 	0.0001654285 	0.0000481881 	0.0000481881 	0.0000481881
	-6.1709296576 	0.0001077727 	0.0000306357 	0.0000306357 	0.0000306357
	-6.1458208771 	0.0000840986 	0.0000226579 	0.0000226579 	0.0000226579
	-6.1207120966 	0.0000889297 	0.0000223001 	0.0000223001 	0.0000223001
