Energy(eV)   DOS_up   DOS_down   DOS_tot
-8.3554080983 0.0000000000 0.0000000000 0.0000000000
-8.3303557995 0.0000000000 0.0000000000 0.0000000000
-8.3053035007 0.0000000000 0.0000000000 0.0000000001
-8.2802512019 0.0000000001 0.0000000001 0.0000000002
-8.2551989031 0.0000000002 0.0000000002 0.0000000005
-8.2301466042 0.0000000006 0.0000000006 0.0000000012
-8.2050943054 0.0000000013 0.0000000013 0.0000000027
-8.1800420066 0.0000000030 0.0000000030 0.0000000060
-8.1549897078 0.0000000066 0.0000000066 0.0000000132
-8.1299374090 0.0000000144 0.0000000144 0.0000000287
-8.1048851101 0.0000000307 0.0000000307 0.0000000614
-8.0798328113 0.0000000646 0.0000000646 0.0000001291
-8.0547805125 0.0000001334 0.0000001334 0.0000002668
-8.0297282137 0.0000002710 0.0000002710 0.0000005420
-8.0046759149 0.0000005413 0.0000005413 0.0000010826
-7.9796236161 0.0000010630 0.0000010630 0.0000021260
-7.9545713172 0.0000020524 0.0000020523 0.0000041047
-7.9295190184 0.0000038959 0.0000038959 0.0000077918
-7.9044667196 0.0000072712 0.0000072711 0.0000145423
-7.8794144208 0.0000133426 0.0000133425 0.0000266851
-7.8543621220 0.0000240721 0.0000240718 0.0000481439
-7.8293098232 0.0000426996 0.0000426991 0.0000853987
-7.8042575243 0.0000744684 0.0000744675 0.0001489358
-7.7792052255 0.0001276902 0.0001276887 0.0002553788
-7.7541529267 0.0002152687 0.0002152663 0.0004305350
-7.7291006279 0.0003568142 0.0003568103 0.0007136245
-7.7040483291 0.0005814885 0.0005814824 0.0011629709
-7.6789960302 0.0009317040 0.0009316947 0.0018633986
-7.6539437314 0.0014677517 0.0014677376 0.0029354893
-7.6288914326 0.0022733434 0.0022733223 0.0045466657
-7.6038391338 0.0034619062 0.0034618754 0.0069237815
-7.5787868350 0.0051832642 0.0051832199 0.0103664841
-7.5537345362 0.0076300819 0.0076300196 0.0152601015
-7.5286822373 0.0110431471 0.0110430610 0.0220862081
-7.5036299385 0.0157142739 0.0157141571 0.0314284309
-7.4785776397 0.0219853600 0.0219852046 0.0439705646
-7.4535253409 0.0302420097 0.0302418070 0.0604838167
-7.4284730421 0.0409002081 0.0408999489 0.0818001570
-7.4034207433 0.0543848819 0.0543845572 0.1087694391
-7.3783684444 0.0710998467 0.0710994483 0.1421992950
-7.3533161456 0.0913896348 0.0913891561 0.1827787909
-7.3282638468 0.1154949572 0.1154943945 0.2309893518
-7.3032115480 0.1435049578 0.1435043112 0.2870092691
-7.2781592492 0.1753107676 0.1753100419 0.3506208095
-7.2531069503 0.2105659190 0.2105651244 0.4211310434
-7.2280546515 0.2486596807 0.2486588334 0.4973185141
-7.2030023527 0.2887090954 0.2887082173 0.5774173127
-7.1779500539 0.3295743188 0.3295734370 0.6591477557
-7.1528977551 0.3698997714 0.3698989171 0.7397986886
-7.1278454563 0.4081807935 0.4081800002 0.8163607937
-7.1027931574 0.4428522658 0.4428515673 0.8857038331
-7.0777408586 0.4723924842 0.4723919119 0.9447843961
-7.0526885598 0.4954329537 0.4954325350 0.9908654887
-7.0276362610 0.5108631820 0.5108629372 1.0217261192
