Energy(eV)   DOS
-8.3554080983 0.0000000000
-8.3303557995 0.0000000000
-8.3053035007 0.0000000000
-8.2802512019 0.0000000001
-8.2551989031 0.0000000002
-8.2301466042 0.0000000006
-8.2050943054 0.0000000013
-8.1800420066 0.0000000030
-8.1549897078 0.0000000066
-8.1299374090 0.0000000144
-8.1048851101 0.0000000307
-8.0798328113 0.0000000646
-8.0547805125 0.0000001334
-8.0297282137 0.0000002710
-8.0046759149 0.0000005413
-7.9796236161 0.0000010630
-7.9545713172 0.0000020523
-7.9295190184 0.0000038959
-7.9044667196 0.0000072711
-7.8794144208 0.0000133425
-7.8543621220 0.0000240718
-7.8293098232 0.0000426991
-7.8042575243 0.0000744675
-7.7792052255 0.0001276887
-7.7541529267 0.0002152663
-7.7291006279 0.0003568103
-7.7040483291 0.0005814824
-7.6789960302 0.0009316947
-7.6539437314 0.0014677376
-7.6288914326 0.0022733223
-7.6038391338 0.0034618754
-7.5787868350 0.0051832199
-7.5537345362 0.0076300196
-7.5286822373 0.0110430610
-7.5036299385 0.0157141571
-7.4785776397 0.0219852046
-7.4535253409 0.0302418070
-7.4284730421 0.0408999489
-7.4034207433 0.0543845572
-7.3783684444 0.0710994483
-7.3533161456 0.0913891561
-7.3282638468 0.1154943945
-7.3032115480 0.1435043112
-7.2781592492 0.1753100419
-7.2531069503 0.2105651244
-7.2280546515 0.2486588334
-7.2030023527 0.2887082173
-7.1779500539 0.3295734370
-7.1528977551 0.3698989171
-7.1278454563 0.4081800002
-7.1027931574 0.4428515673
-7.0777408586 0.4723919119
-7.0526885598 0.4954325350
-7.0276362610 0.5108629372
-7.0025839622 0.5179192720
-6.9775316633 0.5162470107
-6.9524793645 0.5059304644
-6.9274270657 0.4874857387
-6.9023747669 0.4618179421
-6.8773224681 0.4301475872
-6.8522701693 0.3939145145
-6.8272178704 0.3546698560
-6.8021655716 0.3139672698
-6.7771132728 0.2732639093
-6.7520609740 0.2338395575
-6.7270086752 0.1967394653
-6.7019563764 0.1627431792
-6.6769040775 0.1323585216
-6.6518517787 0.1058373171
-6.6267994799 0.0832077042
-6.6017471811 0.0643170416
-6.5766948823 0.0488794582
-6.5516425834 0.0365228374
-6.5265902846 0.0268312214
-6.5015379858 0.0193800184
-6.4764856870 0.0137627671
-6.4514333882 0.0096093769
-6.4263810894 0.0065966402
-6.4013287905 0.0044523485
-6.3762764917 0.0029545852
-6.3512241929 0.0019277566
-6.3261718941 0.0012367446
-6.3011195953 0.0007802937
-6.2760672965 0.0004844416
-6.2510149976 0.0002965249
-6.2259626988 0.0001800520
-6.2009104000 0.0001105670
-6.1758581012 0.0000725137
-6.1508058024 0.0000570596
-6.1257535035 0.0000608282
-6.1007012047 0.0000855247
-6.0756489059 0.0001384937
-6.0505966071 0.0002343281
-6.0255443083 0.0003977337
-6.0004920095 0.0006679367
-5.9754397106 0.0011049918
-5.9503874118 0.0017983688
-5.9253351130 0.0028781620
-5.9002828142 0.0045291182
-5.8752305154 0.0070074054
-5.8501782166 0.0106595996
-5.8251259177 0.0159427425
-5.8000736189 0.0234435396
-5.7750213201 0.0338938733
-5.7499690213 0.0481789181
-5.7249167225 0.0673334230
-5.6998644236 0.0925213898
-5.6748121248 0.1249946445
-5.6497598260 0.1660269029
-5.6247075272 0.2168219921
-5.5996552284 0.2783979267
-5.5746029296 0.3514523617
-5.5495506307 0.4362191610
-5.5244983319 0.5323298419
-5.4994460331 0.6386967271
-5.4743937343 0.7534360064
-5.4493414355 0.8738479151
-5.4242891367 0.9964675040
-5.3992368378 1.1171930601
-5.3741845390 1.2314906557
-5.3491322402 1.3346635970
-5.3240799414 1.4221660679
-5.2990276426 1.4899325645
-5.2739753437 1.5346901831
-5.2489230449 1.5542204559
-5.2238707461 1.5475415882
-5.1988184473 1.5149902576
-5.1737661485 1.4581934864
-5.1487138497 1.3799338580
-5.1236615508 1.2839236246
-5.0986092520 1.1745132278
-5.0735569532 1.0563660553
-5.0485046544 0.9341331088
-5.0234523556 0.8121586904
-4.9984000568 0.6942419125
-4.9733477579 0.5834700461
-4.9482954591 0.4821299429
-4.9232431603 0.3916944753
-4.8981908615 0.3128733632
-4.8731385627 0.2457126625
-4.8480862638 0.1897248805
-4.8230339650 0.1440319502
-4.7979816662 0.1075056270
-4.7729293674 0.0788935239
-4.7478770686 0.0569232013
-4.7228247698 0.0403808150
-4.6977724709 0.0281642796
-4.6727201721 0.0193134570
-4.6476678733 0.0130214452
-4.6226155745 0.0086316966
-4.5975632757 0.0056256271
-4.5725109769 0.0036048195
-4.5474586780 0.0022710877
-4.5224063792 0.0014067667
-4.4973540804 0.0008567381
-4.4723017816 0.0005129935
-4.4472494828 0.0003020045
-4.4221971839 0.0001748046
-4.3971448851 0.0000994787
-4.3720925863 0.0000556602
-4.3470402875 0.0000306195
-4.3219879887 0.0000165611
-4.2969356899 0.0000088068
-4.2718833910 0.0000046045
-4.2468310922 0.0000023669
-4.2217787934 0.0000011963
-4.1967264946 0.0000005944
-4.1716741958 0.0000002904
-4.1466218970 0.0000001395
-4.1215695981 0.0000000659
-4.0965172993 0.0000000306
-4.0714650005 0.0000000140
-4.0464127017 0.0000000063
-4.0213604029 0.0000000028
-3.9963081040 0.0000000012
-3.9712558052 0.0000000005
-3.9462035064 0.0000000002
-3.9211512076 0.0000000001
-3.8960989088 0.0000000001
-3.8710466100 0.0000000002
-3.8459943111 0.0000000005
-3.8209420123 0.0000000012
-3.7958897135 0.0000000027
-3.7708374147 0.0000000062
-3.7457851159 0.0000000138
-3.7207328171 0.0000000302
-3.6956805182 0.0000000650
-3.6706282194 0.0000001377
-3.6455759206 0.0000002867
-3.6205236218 0.0000005870
-3.5954713230 0.0000011816
-3.5704190241 0.0000023386
-3.5453667253 0.0000045507
-3.5203144265 0.0000087065
-3.4952621277 0.0000163776
-3.4702098289 0.0000302894
-3.4451575301 0.0000550768
-3.4201052312 0.0000984658
-3.3950529324 0.0001730772
-3.3700006336 0.0002991108
-3.3449483348 0.0005082322
-3.3198960360 0.0008490437
-3.2948437372 0.0013945551
-3.2697914383 0.0022520558
-3.2447391395 0.0035756945
-3.2196868407 0.0055818668
-3.1946345419 0.0085671492
-3.1695822431 0.0129279897
-3.1445299442 0.0191806564
-3.1194776454 0.0279790998
-3.0944253466 0.0401274731
-3.0693730478 0.0565832240
-3.0443207490 0.0784461022
-3.0192684502 0.1069283468
-2.9942161513 0.1433019625
-2.9691638525 0.1888205363
-2.9441115537 0.2446155820
-2.9190592549 0.3115708450
-2.8940069561 0.3901820706
-2.8689546573 0.4804139489
-2.8439023584 0.5815696192
-2.8188500596 0.6921904712
-2.7937977608 0.8100043002
-2.7687454620 0.9319376025
-2.7436931632 1.0542027601
-2.7186408643 1.1724633212
-2.6935885655 1.2820713183
-2.6685362667 1.3783607779
-2.6434839679 1.4569727570
-2.6184316691 1.5141808831
-2.5933793703 1.5471837277
-2.5683270714 1.5543321219
-2.5432747726 1.5352657385
-2.5182224738 1.4909431940
-2.4931701750 1.4235621695
-2.4681178762 1.3363788157
-2.4430655773 1.2334471040
-2.4180132785 1.1193071538
-2.3929609797 0.9986558079
-2.3679086809 0.8760324377
-2.3428563821 0.7555484965
-2.3178040833 0.6406816814
-2.2927517844 0.5341461106
-2.2676994856 0.4378402035
-2.2426471868 0.3528653434
-2.2175948880 0.2796019387
-2.1925425892 0.2178257176
-2.1674902904 0.1668460506
-2.1424379915 0.1256494267
-2.1173856927 0.0930342573
-2.0923333939 0.0677271937
-2.0672810951 0.0484753630
-2.0422287963 0.0341127602
-2.0171764974 0.0236020897
-1.9921241986 0.0160554267
-1.9670718998 0.0107381892
-1.9420196010 0.0070611926
-1.9169673022 0.0045652321
-1.8919150034 0.0029019202
-1.8668627045 0.0018136183
-1.8418104057 0.0011144077
-1.8167581069 0.0006732558
-1.7917058081 0.0003999023
-1.7666535093 0.0002335423
-1.7416012105 0.0001340957
-1.7165489116 0.0000757011
-1.6914966128 0.0000420172
-1.6664443140 0.0000229293
-1.6413920152 0.0000123024
-1.6163397164 0.0000064898
-1.5912874175 0.0000033659
-1.5662351187 0.0000017164
-1.5411828199 0.0000008605
-1.5161305211 0.0000004242
-1.4910782223 0.0000002056
-1.4660259235 0.0000000980
-1.4409736246 0.0000000459
-1.4159213258 0.0000000212
-1.3908690270 0.0000000098
-1.3658167282 0.0000000048
-1.3407644294 0.0000000030
-1.3157121306 0.0000000034
-1.2906598317 0.0000000060
-1.2656075329 0.0000000125
-1.2405552341 0.0000000266
-1.2155029353 0.0000000560
-1.1904506365 0.0000001160
-1.1653983376 0.0000002365
-1.1403460388 0.0000004738
-1.1152937400 0.0000009335
-1.0902414412 0.0000018083
-1.0651891424 0.0000034440
-1.0401368436 0.0000064491
-1.0150845447 0.0000118730
-0.9900322459 0.0000214914
-0.9649799471 0.0000382478
-0.9399276483 0.0000669246
-0.9148753495 0.0001151339
-0.8898230507 0.0001947413
-0.8647707518 0.0003238551
-0.8397184530 0.0005295189
-0.8146661542 0.0008512361
-0.7896138554 0.0013454159
-0.7645615566 0.0020907453
-0.7395092577 0.0031943597
-0.7144569589 0.0047984919
-0.6894046601 0.0070870287
-0.6643523613 0.0102911138
-0.6393000625 0.0146926371
-0.6142477637 0.0206241908
-0.5891954648 0.0284639226
-0.5641431660 0.0386237564
-0.5390908672 0.0515297465
-0.5140385684 0.0675939534
-0.4889862696 0.0871781782
-0.4639339708 0.1105511409
-0.4388816719 0.1378421179
-0.4138293731 0.1689954812
-0.3887770743 0.2037317742
-0.3637247755 0.2415216509
-0.3386724767 0.2815789537
-0.3136201778 0.3228782409
-0.2885678790 0.3642001592
-0.2635155802 0.4042052778
-0.2384632814 0.4415336451
-0.2134109826 0.4749237762
-0.1883586838 0.5033415248
-0.1633063849 0.5261067970
-0.1382540861 0.5430047445
-0.1132017873 0.5543681695
-0.0881494885 0.5611194446
-0.0630971897 0.5647631789
-0.0380448909 0.5673248404
-0.0129925920 0.5712352093
0.0120597068 0.5791654395
0.0371120056 0.5938222753
0.0621643044 0.6177172399
0.0872166032 0.6529270870
0.1122689021 0.7008652312
0.1373212009 0.7620849567
0.1623734997 0.8361346986
0.1874257985 0.9214833276
0.2124780973 1.0155290004
0.2375303961 1.1146987782
0.2625826950 1.2146381675
0.2876349938 1.3104806424
0.3126872926 1.3971780387
0.3377395914 1.4698646701
0.3627918902 1.5242223712
0.3878441890 1.5568115170
0.4128964879 1.5653350538
0.4379487867 1.5488087892
0.4630010855 1.5076210002
0.4880533843 1.4434765893
