Energy(eV)   DOS
-8.3554080983 0.0000000000
-8.3303557995 0.0000000000
-8.3053035007 0.0000000000
-8.2802512019 0.0000000001
-8.2551989031 0.0000000002
-8.2301466042 0.0000000006
-8.2050943054 0.0000000013
-8.1800420066 0.0000000030
-8.1549897078 0.0000000066
-8.1299374090 0.0000000144
-8.1048851101 0.0000000307
-8.0798328113 0.0000000646
-8.0547805125 0.0000001334
-8.0297282137 0.0000002710
-8.0046759149 0.0000005413
-7.9796236161 0.0000010630
-7.9545713172 0.0000020524
-7.9295190184 0.0000038959
-7.9044667196 0.0000072712
-7.8794144208 0.0000133426
-7.8543621220 0.0000240721
-7.8293098232 0.0000426996
-7.8042575243 0.0000744684
-7.7792052255 0.0001276902
-7.7541529267 0.0002152687
-7.7291006279 0.0003568142
-7.7040483291 0.0005814885
-7.6789960302 0.0009317040
-7.6539437314 0.0014677517
-7.6288914326 0.0022733434
-7.6038391338 0.0034619062
-7.5787868350 0.0051832642
-7.5537345362 0.0076300819
-7.5286822373 0.0110431471
-7.5036299385 0.0157142739
-7.4785776397 0.0219853600
-7.4535253409 0.0302420097
-7.4284730421 0.0409002081
-7.4034207433 0.0543848819
-7.3783684444 0.0710998467
-7.3533161456 0.0913896348
-7.3282638468 0.1154949572
-7.3032115480 0.1435049578
-7.2781592492 0.1753107676
-7.2531069503 0.2105659190
-7.2280546515 0.2486596807
-7.2030023527 0.2887090954
-7.1779500539 0.3295743188
-7.1528977551 0.3698997714
-7.1278454563 0.4081807935
-7.1027931574 0.4428522658
-7.0777408586 0.4723924842
-7.0526885598 0.4954329537
-7.0276362610 0.5108631820
-7.0025839622 0.5179193306
-6.9775316633 0.5162468802
-6.9524793645 0.5059301513
-6.9274270657 0.4874852585
-6.9023747669 0.4618173182
-6.8773224681 0.4301468486
-6.8522701693 0.3939136939
-6.8272178704 0.3546689873
-6.8021655716 0.3139663859
-6.7771132728 0.2732630400
-6.7520609740 0.2338387280
-6.7270086752 0.1967386954
-6.7019563764 0.1627424828
-6.6769040775 0.1323579067
-6.6518517787 0.1058367867
-6.6267994799 0.0832072568
-6.6017471811 0.0643166722
-6.5766948823 0.0488791595
-6.5516425834 0.0365226009
-6.5265902846 0.0268310378
-6.5015379858 0.0193798787
-6.4764856870 0.0137626628
-6.4514333882 0.0096093006
-6.4263810894 0.0065965855
-6.4013287905 0.0044523099
-6.3762764917 0.0029545585
-6.3512241929 0.0019277384
-6.3261718941 0.0012367325
-6.3011195953 0.0007802857
-6.2760672965 0.0004844365
-6.2510149976 0.0002965217
-6.2259626988 0.0001800500
-6.2009104000 0.0001105657
-6.1758581012 0.0000725129
-6.1508058024 0.0000570591
-6.1257535035 0.0000608278
-6.1007012047 0.0000855243
-6.0756489059 0.0001384931
-6.0505966071 0.0002343273
-6.0255443083 0.0003977323
-6.0004920095 0.0006679346
-5.9754397106 0.0011049883
-5.9503874118 0.0017983634
-5.9253351130 0.0028781537
-5.9002828142 0.0045291055
-5.8752305154 0.0070073866
-5.8501782166 0.0106595721
-5.8251259177 0.0159427030
-5.8000736189 0.0234434840
-5.7750213201 0.0338937966
-5.7499690213 0.0481788142
-5.7249167225 0.0673332850
-5.6998644236 0.0925212100
-5.6748121248 0.1249944149
-5.6497598260 0.1660266156
-5.6247075272 0.2168216400
-5.5996552284 0.2783975043
-5.5746029296 0.3514518658
-5.5495506307 0.4362185920
-5.5244983319 0.5323292043
-5.4994460331 0.6386960300
-5.4743937343 0.7534352644
-5.4493414355 0.8738471476
-5.4242891367 0.9964667349
-5.3992368378 1.1171923168
-5.3741845390 1.2314899675
-5.3491322402 1.3346629934
-5.3240799414 1.4221655762
-5.2990276426 1.4899322081
-5.2739753437 1.5346899795
-5.2489230449 1.5542204152
-5.2238707461 1.5475417125
-5.1988184473 1.5149905407
-5.1737661485 1.4581939141
-5.1487138497 1.3799344098
-5.1236615508 1.2839242748
-5.0986092520 1.1745139477
-5.0735569532 1.0563668153
-5.0485046544 0.9341338803
-5.0234523556 0.8121594477
-4.9984000568 0.6942426338
-4.9733477579 0.5834707145
-4.9482954591 0.4821305465
-4.9232431603 0.3916950075
-4.8981908615 0.3128738216
-4.8731385627 0.2457130487
-4.8480862638 0.1897251989
-4.8230339650 0.1440322072
-4.7979816662 0.1075058304
-4.7729293674 0.0788936815
-4.7478770686 0.0569233211
-4.7228247698 0.0403809043
-4.6977724709 0.0281643449
-4.6727201721 0.0193135038
-4.6476678733 0.0130214782
-4.6226155745 0.0086317193
-4.5975632757 0.0056256425
-4.5725109769 0.0036048298
-4.5474586780 0.0022710944
-4.5224063792 0.0014067711
-4.4973540804 0.0008567408
-4.4723017816 0.0005129952
-4.4472494828 0.0003020056
-4.4221971839 0.0001748052
-4.3971448851 0.0000994790
-4.3720925863 0.0000556604
-4.3470402875 0.0000306196
-4.3219879887 0.0000165611
-4.2969356899 0.0000088068
-4.2718833910 0.0000046045
-4.2468310922 0.0000023669
-4.2217787934 0.0000011963
-4.1967264946 0.0000005944
-4.1716741958 0.0000002904
-4.1466218970 0.0000001395
-4.1215695981 0.0000000659
-4.0965172993 0.0000000306
-4.0714650005 0.0000000140
-4.0464127017 0.0000000063
-4.0213604029 0.0000000028
-3.9963081040 0.0000000012
-3.9712558052 0.0000000005
-3.9462035064 0.0000000002
-3.9211512076 0.0000000001
-3.8960989088 0.0000000001
-3.8710466100 0.0000000002
-3.8459943111 0.0000000005
-3.8209420123 0.0000000012
-3.7958897135 0.0000000027
-3.7708374147 0.0000000062
-3.7457851159 0.0000000138
-3.7207328171 0.0000000302
-3.6956805182 0.0000000650
-3.6706282194 0.0000001377
-3.6455759206 0.0000002867
-3.6205236218 0.0000005870
-3.5954713230 0.0000011816
-3.5704190241 0.0000023387
-3.5453667253 0.0000045509
-3.5203144265 0.0000087069
-3.4952621277 0.0000163781
-3.4702098289 0.0000302904
-3.4451575301 0.0000550787
-3.4201052312 0.0000984691
-3.3950529324 0.0001730828
-3.3700006336 0.0002991202
-3.3449483348 0.0005082476
-3.3198960360 0.0008490686
-3.2948437372 0.0013945946
-3.2697914383 0.0022521174
-3.2447391395 0.0035757887
-3.2196868407 0.0055820083
-3.1946345419 0.0085673580
-3.1695822431 0.0129282921
-3.1445299442 0.0191810862
-3.1194776454 0.0279796993
-3.0944253466 0.0401282933
-3.0693730478 0.0565843250
-3.0443207490 0.0784475514
-3.0192684502 0.1069302169
-2.9942161513 0.1433043278
-2.9691638525 0.1888234669
-2.9441115537 0.2446191379
-2.9190592549 0.3115750677
-2.8940069561 0.3901869747
-2.8689546573 0.4804195143
-2.8439023584 0.5815757842
-2.8188500596 0.6921971276
-2.7937977608 0.8100112924
-2.7687454620 0.9319447302
-2.7436931632 1.0542097855
-2.7186408643 1.1724699809
-2.6935885655 1.2820773389
-2.6685362667 1.3783658942
-2.6434839679 1.4569767313
-2.6184316691 1.5141835234
-2.5933793703 1.5471849030
-2.5683270714 1.5543317730
-2.5432747726 1.5352638830
-2.5182224738 1.4909399249
-2.4931701750 1.4235576473
-2.4681178762 1.3363732553
-2.4430655773 1.2334407580
-2.4180132785 1.1193002936
-2.3929609797 0.9986487044
-2.3679086809 0.8760253443
-2.3428563821 0.7555416352
-2.3178040833 0.6406752327
-2.2927517844 0.5341402086
-2.2676994856 0.4378349348
-2.2426471868 0.3528607500
-2.2175948880 0.2795980239
-2.1925425892 0.2178224533
-2.1674902904 0.1668433861
-2.1424379915 0.1256472965
-2.1173856927 0.0930325884
-2.0923333939 0.0677259122
-2.0672810951 0.0484743980
-2.0422287963 0.0341120476
-2.0171764974 0.0236015734
-1.9921241986 0.0160550597
-1.9670718998 0.0107379332
-1.9420196010 0.0070610173
-1.9169673022 0.0045651143
-1.8919150034 0.0029018425
-1.8668627045 0.0018135679
-1.8418104057 0.0011143756
-1.8167581069 0.0006732358
-1.7917058081 0.0003998900
-1.7666535093 0.0002335349
-1.7416012105 0.0001340914
-1.7165489116 0.0000756986
-1.6914966128 0.0000420158
-1.6664443140 0.0000229284
-1.6413920152 0.0000123020
-1.6163397164 0.0000064895
-1.5912874175 0.0000033658
-1.5662351187 0.0000017163
-1.5411828199 0.0000008605
-1.5161305211 0.0000004242
-1.4910782223 0.0000002056
-1.4660259235 0.0000000980
-1.4409736246 0.0000000459
-1.4159213258 0.0000000212
-1.3908690270 0.0000000098
-1.3658167282 0.0000000048
-1.3407644294 0.0000000030
-1.3157121306 0.0000000034
-1.2906598317 0.0000000060
-1.2656075329 0.0000000125
-1.2405552341 0.0000000266
-1.2155029353 0.0000000560
-1.1904506365 0.0000001160
-1.1653983376 0.0000002364
-1.1403460388 0.0000004738
-1.1152937400 0.0000009335
-1.0902414412 0.0000018083
-1.0651891424 0.0000034439
-1.0401368436 0.0000064488
-1.0150845447 0.0000118726
-0.9900322459 0.0000214906
-0.9649799471 0.0000382464
-0.9399276483 0.0000669223
-0.9148753495 0.0001151300
-0.8898230507 0.0001947349
-0.8647707518 0.0003238449
-0.8397184530 0.0005295026
-0.8146661542 0.0008512109
-0.7896138554 0.0013453776
-0.7645615566 0.0020906879
-0.7395092577 0.0031942755
-0.7144569589 0.0047983706
-0.6894046601 0.0070868571
-0.6643523613 0.0102908757
-0.6393000625 0.0146923129
-0.6142477637 0.0206237579
-0.5891954648 0.0284633559
-0.5641431660 0.0386230288
-0.5390908672 0.0515288312
-0.5140385684 0.0675928255
-0.4889862696 0.0871768170
-0.4639339708 0.1105495333
-0.4388816719 0.1378402611
-0.4138293731 0.1689933853
-0.3887770743 0.2037294645
-0.3637247755 0.2415191690
-0.3386724767 0.2815763569
-0.3136201778 0.3228756005
-0.2885678790 0.3641975565
-0.2635155802 0.4042027983
-0.2384632814 0.4415313715
-0.2134109826 0.4749217804
-0.1883586838 0.5033398593
-0.1633063849 0.5261054870
-0.1382540861 0.5430037817
-0.1132017873 0.5543675078
-0.0881494885 0.5611189993
-0.0630971897 0.5647628282
-0.0380448909 0.5673244322
-0.0129925920 0.5712345700
0.0120597068 0.5791643868
0.0371120056 0.5938206329
0.0621643044 0.6177148537
0.0872166032 0.6529238411
0.1122689021 0.7008610628
0.1373212009 0.7620798683
0.1623734997 0.8361287654
0.1874257985 0.9214767001
0.2124780973 1.0155219010
0.2375303961 1.1146914909
0.2625826950 1.2146310218
0.2876349938 1.3104739921
0.3126872926 1.3971722373
0.3377395914 1.4698600447
0.3627918902 1.5242191977
0.3878441890 1.5568099987
0.4128964879 1.5653353060
0.4379487867 1.5488108307
0.4630010855 1.5076247534
0.4880533843 1.4434818881
