
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.672
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.673
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-8.3554080983 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	-8.3303557995 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	-8.3053035007 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	-8.2802512019 	0.0000000001 	0.0000000000 	0.0000000000 	0.0000000000
	-8.2551989031 	0.0000000002 	0.0000000001 	0.0000000001 	0.0000000001
	-8.2301466042 	0.0000000005 	0.0000000001 	0.0000000001 	0.0000000001
	-8.2050943054 	0.0000000011 	0.0000000003 	0.0000000003 	0.0000000003
	-8.1800420066 	0.0000000025 	0.0000000007 	0.0000000007 	0.0000000007
	-8.1549897078 	0.0000000055 	0.0000000016 	0.0000000016 	0.0000000016
	-8.1299374090 	0.0000000120 	0.0000000035 	0.0000000035 	0.0000000035
	-8.1048851101 	0.0000000256 	0.0000000075 	0.0000000075 	0.0000000075
	-8.0798328113 	0.0000000537 	0.0000000158 	0.0000000158 	0.0000000158
	-8.0547805125 	0.0000001109 	0.0000000327 	0.0000000327 	0.0000000327
	-8.0297282137 	0.0000002254 	0.0000000665 	0.0000000665 	0.0000000665
	-8.0046759149 	0.0000004502 	0.0000001328 	0.0000001328 	0.0000001328
	-7.9796236161 	0.0000008840 	0.0000002608 	0.0000002608 	0.0000002608
	-7.9545713172 	0.0000017067 	0.0000005035 	0.0000005035 	0.0000005035
	-7.9295190184 	0.0000032399 	0.0000009557 	0.0000009557 	0.0000009557
	-7.9044667196 	0.0000060468 	0.0000017837 	0.0000017837 	0.0000017837
	-7.8794144208 	0.0000110958 	0.0000032731 	0.0000032731 	0.0000032731
	-7.8543621220 	0.0000200185 	0.0000059051 	0.0000059051 	0.0000059051
	-7.8293098232 	0.0000355093 	0.0000104746 	0.0000104746 	0.0000104746
	-7.8042575243 	0.0000619285 	0.0000182678 	0.0000182678 	0.0000182678
	-7.7792052255 	0.0001061882 	0.0000313237 	0.0000313237 	0.0000313237
	-7.7541529267 	0.0001790193 	0.0000528076 	0.0000528076 	0.0000528076
	-7.7291006279 	0.0002967299 	0.0000875302 	0.0000875302 	0.0000875302
	-7.7040483291 	0.0004835712 	0.0001426453 	0.0001426452 	0.0001426452
	-7.6789960302 	0.0007748140 	0.0002285569 	0.0002285568 	0.0002285569
	-7.6539437314 	0.0012205969 	0.0003600553 	0.0003600552 	0.0003600552
